Pipe,Diameter
1692,400
VZ1.AAT.BRZ.050,350
1695,300
1697,350
1698,350
1699,350
1731,350
1732,350
1737,400
1739,300
1740,300
1741,300
1742,300
1743,300
1744,300
1745,300
1746,300
1749,300
1750,300
1751,300
1752,300
1753,300
1754,300
1755,300
1756,300
1758,300
1760,300
1761,300
1762,400
1763,400
1764,400
1778,300
1779,300
1780,300
1781,300
1783,300
1822,350
1824,350
1825,350
1826,350
1827,350
1828,350
1829,350
1830,350
1831,350
1832,350
1833,350
1835,350
1866,350
1867,350
1868,350
1869,350
1870,350
1871,350
1872,350
1873,350
1874,350
1875,350
1876,350
1877,350
1878,350
1879,350
1880,350
1881,350
1882,350
1883,350
1884,350
1885,350
1886,350
1893,350
1906,75
1964,350
1965,350
1966,350
1967,350
1968,350
1969,350
1970,350
1971,350
1972,350
1973,350
1975,350
1976,350
1977,350
1978,350
1979,350
1980,350
1995,300
1996,300
1998,300
2029,300
2041,350
2042,300
2043,300
2044,300
2045,300
2051,350
2052,350
2053,350
2054,350
2055,350
2056,350
2057,350
2058,350
2059,350
2060,350
2085,300
2096,350
2097,350
2098,350
2115,150
2285,150
2386,300
2387,300
2388,300
2389,300
2390,150
2401,300
2402,300
2403,300
2404,300
2408,300
2409,300
2410,300
2411,300
2413,300
2414,300
2415,300
2416,300
2417,300
2418,300
2419,300
2420,300
2421,300
2465,300
2466,300
2467,300
2468,300
2469,300
2470,300
2471,300
2472,300
2474,150
2475,75
2564,150
2565,150
2670,75
2671,150
2699,150
2795,300
2796,300
2797,75
2798,75
2799,300
2814,300
3149,400

