Node,X-Coord,Y-Coord
1,156576.391,8263416.779
3,156573.435,8263504.313
4,156738.555,8263506.399
5,156738.926,8263527.869
6,156739.480,8263549.500
7,156740.039,8263565.694
8,156740.299,8263585.741
9,156741.053,8263608.926
10,156741.333,8263623.167
11,156630.558,8263623.104
12,156641.253,8263624.044
13,156661.755,8263624.095
15,156810.538,8263645.776
16,156770.808,8264510.587
17,156811.782,8264507.589
18,156663.961,8264073.356
19,156663.808,8264063.036
20,156828.188,8264071.406
21,156890.448,8264074.218
22,156741.958,8263828.056
23,156740.848,8263753.456
24,156660.588,8263830.146
25,156702.758,8264604.057
26,156734.108,8264600.897
27,156619.267,8265110.597
28,156611.887,8265024.137
29,156837.998,8264742.497
31,156837.988,8264801.547
32,156834.388,8264801.550
33,156980.068,8264476.537
34,156977.199,8264477.136
35,156901.528,8264943.217
36,156907.708,8264975.047
37,156837.047,8265463.827
38,156837.297,8265425.277
39,156977.348,8265368.637
40,156978.948,8265255.847
41,156934.397,8265372.277
42,156937.118,8265263.527
43,157028.628,8265364.477
44,156815.459,8265724.645
45,156827.041,8265857.068
46,156841.656,8265569.035
47,156881.414,8265565.511
48,156902.245,8265563.458
49,156789.961,8265574.155
50,156810.433,8265571.906
51,157351.118,8265810.588
52,157379.358,8265807.708
53,157337.308,8265811.938
54,157299.238,8265815.888
55,157276.068,8265818.318
56,157234.608,8265822.538
57,157248.258,8265821.188
58,157439.216,8265798.215
59,157439.508,8265802.614
60,157252.090,8265534.838
61,157209.364,8265538.378
62,157520.578,8265794.668
63,157520.164,8265790.888
64,156934.783,8266369.621
65,156915.716,8266371.398
66,156720.868,8266387.521
67,157409.531,8266181.691
68,157411.965,8266207.151
69,157592.100,8266265.800
70,157547.768,8266269.673
71,156734.833,8266571.981
72,156697.454,8266575.001
73,157436.063,8266844.686
74,157523.833,8266838.366
75,157823.728,8264744.627
76,157776.028,8264740.617
77,157828.758,8264744.917
78,157698.706,8264719.086
79,157698.825,8264716.089
80,157559.359,8263560.746
81,157510.339,8263543.486
82,157600.799,8263575.026
83,157409.169,8263510.226
84,157461.239,8263527.866
85,157303.619,8263473.106
86,157357.509,8263492.226
87,157534.599,8263769.186
88,157591.639,8263143.046
89,157568.919,8263135.046
90,157619.029,8263152.626
91,157641.539,8263160.376
92,157668.389,8263168.896
93,157691.039,8263176.836
94,157674.409,8263313.685
95,157648.489,8263301.166
96,157783.269,8263971.197
97,157809.059,8263980.137
98,157757.399,8263962.417
99,157732.599,8263954.057
100,157834.829,8263660.477
101,157796.158,8263647.942
102,157884.329,8263677.727
103,157914.269,8263726.247
104,157926.109,8263691.787
105,157633.799,8263586.316
106,157630.812,8263585.131
107,157783.646,8263639.215
108,157850.459,8263448.406
109,157885.934,8263673.561
110,157945.671,8263500.164
111,157988.787,8263510.468
112,157483.244,8266297.199
113,157478.124,8266308.166
114,157446.018,8265994.331
115,157444.392,8265976.259
116,157526.342,8266371.948
117,157535.122,8266371.360
118,157458.900,8266015.682
119,157458.901,8266015.691
120,157460.804,8266036.159
121,157462.569,8266057.226
122,157464.578,8266078.864
123,157466.710,8266103.296
124,157468.264,8266119.458
125,157470.084,8266139.450
126,157471.732,8266157.193
127,157474.039,8266184.156
128,157475.642,8266202.936
129,157477.380,8266221.655
130,157479.001,8266240.873
131,157480.852,8266261.730
132,157482.525,8266279.409
133,157484.281,8266295.978
134,157484.108,8266296.750
135,157829.638,8265943.718
136,157810.839,8265945.295
137,157790.945,8265946.869
138,157772.200,8265948.888
139,157747.272,8265950.987
140,157726.876,8265952.807
141,157704.959,8265954.838
142,157688.282,8265956.195
143,157669.922,8265957.850
144,157645.456,8265960.019
145,157625.201,8265961.824
146,157607.263,8265963.569
147,157587.121,8265965.228
148,157561.978,8265966.887
149,157539.152,8265967.877
150,157515.103,8265969.073
151,157489.810,8265970.113
152,157468.569,8265971.169
153,157454.467,8265971.907
154,157886.473,8265812.601
155,157876.338,8265805.289
156,157872.586,8265802.860
157,158109.538,8263729.489
158,158110.580,8263726.386
159,157019.587,8265838.928
160,157048.847,8265836.338
161,157041.496,8266316.899
162,157088.117,8266310.942
163,157463.345,8266177.207
164,157449.506,8266028.349
165,157539.597,8266496.999
166,157526.632,8266375.639
167,157661.154,8262938.170
168,157689.599,8262948.236
169,157442.529,8263077.616
170,157439.482,8263076.618
171,157781.889,8263643.316
172,156657.723,8263505.276
173,156657.277,8263483.986
174,156656.966,8263467.377
175,156656.763,8263449.832
176,156655.739,8263429.234
177,156655.057,8263414.751
178,157716.279,8264516.877
179,157716.424,8264513.029
180,157432.806,8265716.590
181,157438.988,8265792.914
182,157731.748,8264733.977
183,157775.254,8264737.312
184,157783.221,8264738.122
185,157802.868,8264740.148
186,157824.406,8264742.578
187,157834.736,8264743.253
188,157837.087,8264743.367
189,157068.450,8264731.358
190,157044.790,8264729.148
191,157440.598,8264699.777
192,157441.138,8264694.470
193,157410.968,8264366.987
194,157406.638,8264366.600
195,157685.749,8264170.807
196,157687.174,8264167.420
197,156718.568,8264276.796
198,156718.529,8264273.787
199,157383.797,8264754.031
200,157379.640,8265810.536
201,157870.892,8265767.262
202,157872.855,8265764.541
203,157492.867,8263393.520
204,157505.809,8263355.536
205,157482.183,8263424.877
206,157439.699,8263410.706
207,157496.679,8263474.366
208,157521.625,8263403.043
209,157515.737,8263113.473
210,157585.199,8262911.576
211,157494.769,8263480.056
212,157497.180,8263480.839
213,157525.849,8263484.626
214,157533.006,8263487.365
215,157504.687,8263477.089
216,157669.423,8263165.858
217,157737.564,8262964.355
218,157565.419,8263369.596
219,157509.189,8262884.996
220,157619.908,8263150.103
221,157438.149,8263089.856
222,157466.939,8263099.926
223,157468.083,8263096.665
224,157191.389,8262990.966
225,157749.489,8263413.006
226,157713.432,8263401.974
227,157759.195,8263272.922
228,157772.050,8263234.043
229,157730.478,8263307.220
230,157744.565,8263312.506
231,157722.660,8263330.228
232,157727.073,8263317.809
233,157634.987,8263583.330
PM1.DMC.BRZ.021,157665.949,8263495.706
235,157797.619,8263429.866
236,157732.124,8263622.891
237,157699.632,8263396.508
238,157699.521,8263397.855
239,157719.660,8263338.448
240,157713.030,8263357.702
241,157701.478,8263391.714
242,157725.339,8263331.065
243,157747.409,8263338.465
244,157728.918,8263332.305
245,157721.017,8263329.529
246,157781.271,8263208.377
247,157767.867,8263203.386
248,157760.627,8263200.691
249,158246.629,8263840.547
250,158270.509,8263848.917
251,157821.872,8263984.427
252,157825.059,8263985.487
253,157890.769,8263792.717
254,157891.830,8263790.007
255,158015.525,8263430.731
256,158016.985,8263426.630
257,158013.231,8263429.948
258,157999.216,8263425.162
259,158005.732,8263406.092
260,158012.009,8263387.822
261,158020.209,8263363.606
262,158027.575,8263341.850
263,158032.284,8263327.981
264,158038.761,8263310.014
265,158048.232,8263282.122
266,158054.304,8263264.207
267,157993.377,8263497.346
268,157996.494,8263487.259
269,158003.829,8263465.960
270,158010.494,8263446.453
271,157950.393,8263408.509
272,157956.673,8263390.384
273,157963.658,8263370.964
274,157970.148,8263351.766
275,157975.313,8263336.948
276,157982.100,8263316.539
277,157988.626,8263297.744
278,157995.051,8263278.917
279,158001.582,8263260.030
280,158006.750,8263244.880
281,158012.067,8263229.406
282,158017.795,8263212.554
283,158021.953,8263200.503
284,158028.078,8263182.703
285,157975.814,8263417.127
286,157957.846,8263411.018
287,158078.035,8263196.271
288,158088.225,8263197.200
289,158241.015,8263856.992
290,158205.579,8263958.617
291,158090.391,8263786.656
292,157927.837,8263730.985
293,158053.051,8263773.845
294,157631.989,8263591.296
295,157561.513,8263778.600
296,157565.029,8263779.826
297,157237.884,8263662.992
298,157236.569,8263666.796
299,157247.049,8263636.556
300,157239.859,8263667.905
301,157597.339,8263688.626
302,157630.602,8263594.948
303,157635.571,8263592.595
304,157681.699,8263608.946
305,157683.132,8263605.362
306,157290.989,8263685.076
307,157343.729,8263703.446
308,157393.869,8263720.416
309,157443.409,8263737.426
310,157730.789,8263625.866
311,157491.739,8263987.397
312,157526.919,8263885.267
313,157465.809,8264062.367
314,157680.019,8263717.646
315,157681.693,8263714.541
316,157462.695,8264061.331
317,157455.029,8264092.497
318,157453.747,8264095.887
319,157583.156,8264132.849
320,157652.209,8263926.917
321,157528.021,8263882.255
322,157580.831,8263899.844
323,157647.839,8263706.306
324,157596.244,8263691.689
325,157699.494,8263724.340
326,157696.359,8263723.257
327,157748.859,8263742.687
328,157738.729,8264189.077
329,157799.349,8263760.137
330,157602.058,8263690.279
331,156814.998,8264068.246
332,156828.106,8264069.023
334,156659.595,8264062.856
335,156815.218,8263932.716
336,156814.985,8264066.616
339,156464.248,8264053.516
340,156522.968,8264056.256
341,156814.988,8264070.486
342,156814.998,8264078.676
343,156745.278,8263927.026
344,156745.755,8263935.127
345,156745.828,8263936.376
346,156883.488,8263648.436
347,156887.901,8263927.271
348,156815.218,8263924.166
PM1.DMC.BRZ.022,156811.181,8263683.999
350,156663.128,8263931.116
351,157165.218,8263874.026
352,157194.628,8263884.266
353,156631.754,8263640.247
354,156633.948,8263755.386
355,156634.088,8263830.146
356,156561.868,8263742.818
357,156567.310,8263649.510
358,156556.628,8263832.536
359,156550.198,8263945.626
360,156551.868,8263925.416
361,156475.168,8263832.536
362,156469.688,8263946.406
363,156548.553,8263925.394
364,156553.595,8263945.472
365,156662.079,8263939.359
366,156544.158,8264057.246
367,156634.088,8263826.186
368,156648.408,8263755.386
369,156573.504,8263504.721
370,156577.972,8263504.286
371,156601.110,8263504.824
372,156621.187,8263505.092
373,156641.423,8263505.097
374,157380.548,8264695.457
375,157388.720,8264696.099
376,157823.888,8264744.627
377,157560.238,8264930.867
378,157560.048,8264935.537
379,157397.733,8264448.627
380,157403.468,8264448.957
381,157674.378,8264717.687
382,157674.316,8264719.048
383,157392.164,8264696.374
384,157418.208,8264271.197
385,157434.508,8264180.637
386,157284.978,8264357.327
387,157296.638,8264225.947
388,157309.198,8264153.197
389,157326.948,8264083.087
390,157336.218,8264053.227
391,157354.188,8264001.517
392,157357.228,8263992.767
393,157359.588,8263983.047
394,157371.283,8263949.892
395,157233.348,8264353.267
396,157241.908,8264240.697
397,157254.648,8264160.467
398,157270.428,8264091.187
399,157305.338,8263980.577
400,157310.688,8263965.337
401,157321.537,8263932.824
402,157605.326,8264144.153
403,157634.999,8264154.147
404,157701.677,8264720.146
405,157654.558,8264716.456
406,157602.258,8264712.141
407,157548.298,8264707.691
408,157491.865,8264703.809
409,157697.812,8264515.216
410,157698.177,8264510.594
411,157715.623,8264294.771
412,157336.098,8264361.157
413,157608.047,8264291.624
414,157608.399,8264287.457
415,157551.747,8264288.065
416,157552.168,8264282.607
417,157498.884,8264285.126
418,157499.378,8264278.697
419,157480.938,8264498.227
420,157445.972,8264282.125
421,157446.668,8264274.047
422,157429.218,8264493.737
423,157423.184,8264271.694
424,157734.749,8264295.987
425,157751.929,8264193.897
426,157388.918,8264365.437
427,157698.888,8264715.507
428,157699.398,8264708.567
429,157715.829,8264522.137
430,157654.588,8264715.407
431,157654.882,8264711.896
432,157644.058,8264511.087
433,157644.312,8264507.674
434,157662.219,8264291.247
435,157661.704,8264297.004
436,157619.318,8264509.117
437,157670.859,8264514.472
438,157676.414,8264510.107
439,157705.999,8264515.897
440,157697.828,8264515.217
441,157712.953,8264516.729
442,157710.839,8264513.027
443,157702.681,8264512.317
444,157697.091,8264511.792
445,157714.439,8264529.617
446,157726.749,8264382.497
447,156983.672,8264730.341
448,157024.850,8264728.544
PM.VRP.BRZ.003,157028.865,8264728.307
450,156896.668,8264737.817
451,156816.968,8264743.577
452,156816.891,8264670.480
453,156610.448,8264525.167
454,156653.358,8264521.487
455,156555.633,8264825.834
456,156541.728,8264661.107
457,156820.384,8264670.744
458,156840.678,8264506.417
459,156846.423,8264670.612
460,157808.408,8264949.538
461,157823.928,8264758.867
462,157781.348,8264755.417
463,157777.157,8264743.473
464,157766.868,8264946.378
465,157714.738,8264942.167
466,157329.488,8265527.616
467,157316.827,8265528.825
468,157448.520,8266016.390
469,157447.167,8266004.466
470,157354.704,8266212.199
471,157358.538,8266211.849
472,157342.754,8266213.290
473,157330.803,8266214.381
474,157804.772,8265956.623
475,157816.670,8265955.058
476,157792.874,8265958.187
477,157342.520,8266211.372
478,157341.262,8266389.318
479,157338.309,8266360.550
480,157457.933,8266015.595
481,157462.143,8266015.474
484,157490.741,8265801.230
485,157502.018,8265923.728
486,157543.174,8265795.613
487,157554.478,8265917.998
488,157594.997,8265791.061
489,157606.048,8265914.098
490,157646.215,8265785.856
491,157658.088,8265909.038
492,157646.088,8265782.908
493,157624.438,8265784.878
494,157623.911,8265781.834
495,157648.875,8265785.380
496,157594.408,8265788.088
497,157571.718,8265789.918
498,156763.363,8266411.635
499,156762.097,8266398.059
500,157276.364,8265821.295
501,157003.097,8265556.207
502,157030.670,8265551.923
503,157056.219,8265549.898
504,156755.143,8266033.142
505,156743.190,8266034.201
506,156767.097,8266032.083
507,156751.408,8266412.681
508,156775.303,8266410.435
509,157620.471,8265502.467
510,157633.648,8265648.548
511,157865.552,8265487.012
512,157865.027,8265480.833
513,157864.861,8265479.416
514,157864.719,8265478.199
515,157864.402,8265475.479
516,157864.138,8265473.029
517,157864.082,8265472.518
518,157863.873,8265470.579
519,157863.158,8265462.678
520,157862.442,8265454.777
521,157860.395,8265434.420
522,157858.347,8265414.062
523,157857.273,8265404.879
524,157856.199,8265395.696
525,157854.940,8265383.483
526,157853.909,8265373.342
527,157852.878,8265363.200
528,157852.076,8265356.547
529,157851.273,8265349.894
530,157850.433,8265339.787
531,157849.592,8265329.680
532,157848.322,8265318.087
533,157847.051,8265306.493
534,157846.064,8265296.423
535,157845.077,8265286.352
536,157843.842,8265275.443
537,157842.606,8265264.534
538,157841.616,8265254.016
539,157840.626,8265243.498
540,157839.224,8265230.508
541,157837.822,8265217.517
542,157836.592,8265205.671
543,157835.361,8265193.825
544,157834.216,8265182.390
545,157833.070,8265170.955
546,157831.977,8265160.752
547,157830.884,8265150.548
548,157829.732,8265139.497
549,157828.579,8265128.445
550,157826.982,8265112.687
551,157825.601,8265099.593
552,157825.043,8265094.517
553,157823.855,8265082.709
