Pipe,Roughness
4,50
6,131
14,137
1896,50
1907,135
1940,50
1974,50
1982,50
1983,50
1984,50
2016,50
2020,132
2021,132
2022,132
2023,132
2024,132
2025,132
2026,132
2027,50
2028,50
2039,50
2040,50
2109,50
2110,50
2111,50
2116,50
2131,50
2140,50
2141,50
2142,50
2143,50
2144,50
2145,50
2155,50
2156,50
2157,50
2158,52
2173,50
2174,50
2175,50
2176,50
2177,50
2178,50
2179,50
2180,50
2181,50
2182,50
2183,50
2184,50
2187,132
2190,132
2194,52
2195,50
2198,50
2199,50
2281,50
2282,50
2283,50
2284,50
2297,50
2298,50
2300,135
2303,135
2385,50
2393,50
2405,50
2406,50
2422,50
2461,50
2462,50
2463,50
2464,50
2473,50
2480,50
2481,50
2482,50
2494,50
2495,50
2496,50
2497,50
2503,50
2504,52
2505,50
2508,52
2509,50
2511,50
2512,50
2513,50
2514,50
2515,50
2516,50
2517,50
2518,50
2519,50
2522,52
2526,50
2527,50
2528,50
2529,50
2530,52
2531,50
2532,50
2533,50
2534,50
2535,50
2536,52
2537,52
2538,52
2539,50
2581,50
2589,50
2600,50
2601,50
2602,50
2603,50
2604,50
2605,50
2606,50
2607,50
2608,50
2609,50
2617,50
2713,132
2714,132
2715,132
2716,132
2717,132
2718,132
2719,132
2733,132
2746,132
2747,132
2749,132
2750,132
2764,135
2765,135
2766,135
2771,132
2772,132
2773,132
2774,132
2780,132
2782,135
2784,135
2785,135
2786,135
2787,135
2788,135
2789,135
2791,135
2792,135
2818,50
2819,50
2820,50
2824,132
2825,135
2826,50
2827,135
2828,50
2840,135
2841,135
2865,135
2866,135
2874,135
2886,135
2887,135
2906,135
2908,135
2909,135
2910,135
2911,135
2912,52
2923,52
2925,52
2946,52
2947,52
2949,52
2950,50
2951,50
2952,50
2953,135
2954,50
2955,50
2956,50
2957,50
2958,50
2959,50
2962,50
2963,135
2965,135
2967,135
2975,50
2978,135
2980,135
2981,135
2982,135
2983,135
2984,135
2985,135
2987,135
2989,135
2990,135
2991,132
2995,135
2996,50
2997,132
2998,132
2999,132
3000,132
3001,132
3074,132
3088,132
3089,132
3103,132
3104,132
3105,132
3141,132
3142,132
3143,132
3151,135
3152,59
3153,132
3154,132
3155,132
3156,50
3157,50
3158,132
3159,50
3,50

