ID,Node1,Node2,Length,Diameter,Roughness,MinorLoss,Status;
0,1272,1266,41.412884,60,137,0,Open,;
1,509,2568,4.608553,60,137,0,Open,;
2,2566,2567,3.41083,60,137,0,Open,;
4,2754,2640,75.732263,50,50,0,Open,;
6,1813,2734,34.226609,150,131,0,Open,;
10,846,509,51.046847,60,137,0,Open,;
11,848,2566,49.04324,60,137,0,Open,;
14,1970,2736,267.673185,60,137,0,Open,;
15,2730,2731,1.822372,75,130,0,Open,;
16,1634,2728,0.999996,85,137,0,Open,;
17,2728,2729,9.125893,85,137,0,Open,;
18,1277,1272,53.564369,60,137,0,Open,;
19,1283,1277,50.537219,60,137,0,Open,;
20,2561,2562,0.506903,60,137,0,Open,;
21,1907,2731,1.822401,75,130,0,Open,;
22,PM1.DMC.BRZ.022,2715,4.211021,150,131,0,Open,;
23,2520,2521,24.548797,63,140,0,Open,;
24,2519,2520,33.421113,63,140,0,Open,;
25,2518,2519,30.504499,63,140,0,Open,;
26,2512,2513,20.873314,63,140,0,Open,;
27,2514,2515,25.807023,63,140,0,Open,;
28,2515,2516,29.284875,63,140,0,Open,;
29,2516,2517,28.897196,63,140,0,Open,;
30,2517,2518,25.178957,63,140,0,Open,;
31,2521,2522,29.879888,63,140,0,Open,;
32,2513,2514,31.011333,63,140,0,Open,;
33,2522,2523,30.437446,63,140,0,Open,;
34,2527,2528,27.323049,63,140,0,Open,;
35,2524,2525,18.284826,63,140,0,Open,;
36,2547,2549,11.046528,63,140,0,Open,;
37,2547,2548,1.993631,63,140,0,Open,;
38,2546,2547,1.153416,63,140,0,Open,;
39,PM1.UDA.BRZ.003,2546,19.144806,63,140,0,Open,;
40,2544,PM1.UDA.BRZ.003,32.085553,63,140,0,Open,;
41,2543,2544,29.647438,63,140,0,Open,;
42,2542,2543,20.522518,63,140,0,Open,;
43,2541,2542,34.026967,63,140,0,Open,;
44,2540,2541,17.324762,63,140,0,Open,;
45,2539,2540,12.884339,63,140,0,Open,;
46,2538,2539,20.890425,63,140,0,Open,;
47,2537,2538,38.130622,63,140,0,Open,;
48,2536,2537,26.320021,63,140,0,Open,;
49,2535,2536,33.05523,63,140,0,Open,;
50,2534,2535,22.095726,63,140,0,Open,;
51,2533,2534,28.831775,63,140,0,Open,;
52,2532,2533,29.676499,63,140,0,Open,;
53,2531,2532,10.25145,63,140,0,Open,;
54,2530,2531,10.366028,63,140,0,Open,;
55,2529,2530,31.052069,63,140,0,Open,;
56,2528,2529,15.874185,63,140,0,Open,;
57,2511,2512,22.999972,63,140,0,Open,;
58,2526,2527,39.249489,63,140,0,Open,;
59,2523,2524,32.679181,63,140,0,Open,;
60,2510,2511,24.482487,63,140,0,Open,;
61,2525,2526,29.662093,63,140,0,Open,;
62,2508,2509,27.385666,63,140,0,Open,;
63,2509,2510,23.898952,63,140,0,Open,;
64,842,2508,27.955255,63,140,0,Open,;
65,2414,2415,13.539839,85,135,0,Open,;
66,2392,2393,19.127574,60,135,0,Open,;
67,2391,2392,13.855735,60,135,0,Open,;
68,2324,2391,13.998603,60,135,0,Open,;
69,2389,2390,18.601093,60,135,0,Open,;
70,2388,2389,16.72011,60,135,0,Open,;
71,2386,2387,23.496046,60,135,0,Open,;
72,2385,2386,11.815558,60,135,0,Open,;
73,2383,2384,49.654216,60,135,0,Open,;
74,2381,2380,39.086655,60,135,0,Open,;
75,2380,2257,57.758454,60,135,0,Open,;
76,2257,2337,55.607998,60,135,0,Open,;
77,2379,2374,7.154637,60,135,0,Open,;
78,2377,2378,27.437874,60,135,0,Open,;
79,2376,2318,18.784979,110,135,0,Open,;
80,2334,2376,20.300317,110,135,0,Open,;
81,2369,2394,16.487881,60,135,0,Open,;
82,2382,2383,33.087233,60,135,0,Open,;
83,2395,2396,15.213248,60,135,0,Open,;
84,2396,2397,26.058675,60,135,0,Open,;
85,2293,2413,16.42653,85,135,0,Open,;
86,2293,2282,21.357335,85,135,0,Open,;
87,2409,2412,70.697113,60,135,0,Open,;
88,2415,2416,14.010383,85,135,0,Open,;
89,2411,2410,35.351851,60,135,0,Open,;
90,2409,2410,32.53686,60,135,0,Open,;
91,2408,2271,35.996104,85,135,0,Open,;
92,2406,2407,21.005228,85,135,0,Open,;
93,2405,2406,17.93554,85,135,0,Open,;
94,2404,2405,22.16749,85,135,0,Open,;
95,2403,2404,18.893618,85,135,0,Open,;
96,2402,2403,23.287309,85,135,0,Open,;
97,2413,2414,14.105561,85,135,0,Open,;
98,2401,2402,19.925587,85,135,0,Open,;
99,2399,2400,13.476257,60,135,0,Open,;
100,2398,2399,16.308076,60,135,0,Open,;
101,2397,2398,21.814325,60,135,0,Open,;
102,2394,2395,16.250479,60,135,0,Open,;
103,2416,2297,9.51807,85,135,0,Open,;
104,2342,2343,14.209464,60,135,0,Open,;
105,2418,2371,10.063093,60,135,0,Open,;
106,2435,2436,24.634844,60,135,0,Open,;
107,2436,2437,10.733006,60,135,0,Open,;
108,2437,2418,18.016933,60,135,0,Open,;
109,2438,2385,39.117952,60,135,0,Open,;
110,2410,2268,38.457235,60,135,0,Open,;
111,2270,2268,55.300073,60,135,0,Open,;
112,2267,2439,54.759536,60,135,0,Open,;
113,2411,2440,61.46445,60,135,0,Open,;
114,2440,2408,68.434441,60,135,0,Open,;
115,2434,2435,10.340457,60,135,0,Open,;
116,2433,2417,19.364204,110,135,0,Open,;
117,2441,2442,7.298295,60,135,0,Open,;
118,2442,2443,13.6613,60,135,0,Open,;
119,2443,2444,20.023159,60,135,0,Open,;
120,2444,2387,18.226005,60,135,0,Open,;
121,2418,2445,16.959873,60,135,0,Open,;
122,2445,2331,18.652233,60,135,0,Open,;
123,2368,2446,27.351406,60,135,0,Open,;
124,2446,2401,25.205486,60,135,0,Open,;
125,2331,2447,12.466099,110,135,0,Open,;
126,2340,PM1.PCM.BRZ.004,11.657944,60,135,0,Open,;
127,2433,2434,19.334232,60,135,0,Open,;
128,2432,2336,22.726153,60,135,0,Open,;
129,2431,2432,30.016913,60,135,0,Open,;
130,2419,2289,93.8696,60,135,0,Open,;
131,2381,2419,52.828424,60,135,0,Open,;
132,2375,2334,16.243516,110,135,0,Open,;
133,2400,2420,9.047365,85,135,0,Open,;
134,2420,2368,25.03291,85,135,0,Open,;
137,2423,2387,38.330803,60,135,0,Open,;
138,2304,2302,54.482516,60,135,0,Open,;
139,2424,2290,93.08087,60,135,0,Open,;
140,2380,2424,54.267534,60,135,0,Open,;
141,2424,2419,37.972851,60,135,0,Open,;
142,2254,2424,59.305818,60,135,0,Open,;
143,2255,2339,34.813726,60,135,0,Open,;
144,2407,2425,19.848256,60,135,0,Open,;
145,2425,2426,4.556643,60,135,0,Open,;
146,2426,2427,15.346545,60,135,0,Open,;
147,2427,2362,12.877071,60,135,0,Open,;
148,2428,2429,15.630156,60,135,0,Open,;
149,2429,2430,27.877086,60,135,0,Open,;
150,2430,2390,14.662391,60,135,0,Open,;
151,2417,PM1.PCM.BRZ.004,13.649249,60,135,0,Open,;
152,2374,2375,15.605801,110,135,0,Open,;
153,2362,2363,23.679535,60,135,0,Open,;
154,2370,2371,13.930458,60,135,0,Open,;
157,2252,2253,74.244371,60,135,0,Open,;
158,2253,2229,16.244221,60,135,0,Open,;
159,2254,2255,36.414516,60,135,0,Open,;
160,2256,2254,18.650076,60,135,0,Open,;
161,2257,2256,35.583584,60,135,0,Open,;
162,2258,2259,32.867388,60,135,0,Open,;
163,2259,2260,31.446491,60,135,0,Open,;
164,2261,2262,13.075888,60,135,0,Open,;
165,2262,2263,17.187404,60,135,0,Open,;
166,2263,2264,26.173698,60,135,0,Open,;
167,2264,2265,20.934872,60,135,0,Open,;
168,2265,2266,26.434928,60,135,0,Open,;
169,2250,2251,15.503889,60,135,0,Open,;
170,2267,2268,67.702963,60,135,0,Open,;
171,2271,2270,36.000052,60,135,0,Open,;
172,2272,2273,8.138988,110,135,0,Open,;
173,2273,2274,24.436795,110,135,0,Open,;
174,2274,2275,21.705752,110,135,0,Open,;
175,2276,2271,137.802969,85,135,0,Open,;
176,2277,2278,17.642041,60,135,0,Open,;
177,2278,2279,24.627567,60,135,0,Open,;
178,2280,2281,18.045472,60,135,0,Open,;
179,2281,2279,11.485079,60,135,0,Open,;
180,2282,2283,16.711802,85,135,0,Open,;
181,2283,PM1.PCM.BRZ.004,17.065847,85,135,0,Open,;
182,2285,2255,56.319587,60,135,0,Open,;
183,2286,2287,46.101761,60,135,0,Open,;
184,2288,2286,35.970011,60,135,0,Open,;
185,2269,2270,66.810235,60,135,0,Open,;
186,2289,2290,35.09409,60,135,0,Open,;
187,2250,2249,46.984953,60,135,0,Open,;
188,2228,2247,123.782584,60,135,0,Open,;
189,2221,2222,0.668764,60,135,0,Open,;
190,2222,2223,2.052831,60,135,0,Open,;
191,2224,2225,3.971119,60,135,0,Open,;
192,2225,2226,10.875629,60,135,0,Open,;
193,2226,2227,17.196082,60,135,0,Open,;
194,2227,2228,13.503593,60,135,0,Open,;
195,2229,2230,3.716006,60,135,0,Open,;
196,2230,2231,9.954814,60,135,0,Open,;
197,2231,2232,0.830323,60,135,0,Open,;
198,2232,2233,12.841034,60,135,0,Open,;
199,2233,2234,4.39534,60,135,0,Open,;
200,2234,2224,14.494872,60,135,0,Open,;
201,2223,2235,11.98817,60,135,0,Open,;
202,2236,2221,12.799968,110,135,0,Open,;
