Pipe,Diameter
22,150
1350,110
1351,110
VZ1.DMC.BRZ.022,150
1428,110
1429,110
1433,110
1528,110
1725,60
1899,32
1915,32
1930,150
1937,85
1944,75
2018,50
2031,75
2032,75
2036,150
2132,75
2133,32
2146,85
2150,85
2152,85
2153,75
2192,75
2193,75
2196,100
2203,75
2204,150
2206,75
2207,150
2208,150
2209,75
2210,75
2212,75
2213,150
2214,75
2215,50
2216,50
2219,100
2220,75
2221,150
2244,75
2245,75
2246,75
2247,75
2271,75
2272,75
2273,75
2274,75
2275,75
2276,75
2277,100
2278,75
2279,75
2299,75
2338,60
2339,60
2360,60
2363,60
2384,32
2391,32
2392,32
2523,150
2524,150
2525,100
2582,75
2583,75
2584,150
2585,75
2586,75
2587,100
2588,100
2590,100
2591,100
2592,150
2593,150
2594,150
2595,150
2596,32
2597,75
2598,100
2610,85
2611,85
2612,85
2613,32
2614,32
2615,32
2618,85
2707,150
2751,32
2752,32
2753,32
2754,85
2755,32
2756,32
2757,85
2758,85
2759,85
2760,85
2761,75
2762,85
2763,85
2770,60
2781,32
2783,100
2790,85
2822,32
2823,32
2867,85
2868,32
2869,32
2870,32
2876,85
2877,85
2878,85
2879,85
2880,85
2881,32
2913,32
2914,32
2915,32
2916,32
2917,32
2918,32
2919,32
2920,32
2921,32
2966,32
2988,32
2992,85
2993,85
2994,32
3161,75
5,75
