Pipe,Diameter
0,60
1,60
2,60
10,60
11,60
18,60
19,60
20,60
65,85
66,60
67,60
68,60
69,60
70,60
71,60
72,60
73,60
74,60
75,60
76,60
81,60
82,60
83,60
84,60
85,85
86,85
88,85
92,85
93,85
94,85
95,85
96,85
97,85
98,85
99,60
100,60
101,60
102,60
103,85
104,60
105,60
106,60
107,60
108,60
109,60
115,60
116,110
117,60
118,60
119,60
120,60
121,60
122,60
123,60
124,60
125,110
126,60
127,60
130,60
131,60
133,85
134,85
137,60
138,60
139,60
140,60
141,60
142,60
143,60
144,60
145,60
146,60
147,60
148,60
149,60
150,60
151,60
153,60
154,60
159,60
160,60
161,60
162,60
163,60
164,60
165,60
166,60
167,60
168,60
176,60
177,60
178,60
179,60
180,85
181,85
182,60
186,60
220,60
221,60
222,60
223,110
226,60
227,60
228,60
229,60
230,60
231,60
232,60
233,60
234,60
235,60
236,60
237,110
238,60
239,60
240,60
241,110
242,110
243,110
244,110
245,110
246,110
247,60
248,60
249,60
250,60
251,60
252,60
253,60
254,60
255,110
256,110
257,60
258,60
259,60
260,60
263,60
264,60
271,110
280,60
281,60
282,60
283,60
284,60
285,110
286,110
288,110
291,60
292,60
293,60
294,60
295,60
296,60
298,60
299,60
300,60
302,60
303,60
304,60
305,60
306,60
307,60
308,60
309,60
310,60
311,60
312,60
313,60
319,110
320,60
322,60
331,60
332,60
333,110
334,110
335,60
340,60
341,60
342,60
343,60
344,60
346,60
347,60
348,60
349,60
350,60
351,60
352,60
353,60
354,60
355,60
356,60
358,60
359,60
360,60
367,60
368,60
378,60
381,60
382,60
384,60
385,60
386,60
387,60
388,60
441,110
442,110
443,110
460,110
461,110
462,110
463,110
464,110
495,50
496,110
497,110
498,100
632,150
641,50
642,100
643,50
644,150
646,50
663,50
664,50
665,50
666,100
667,100
668,100
669,50
691,50
752,50
753,50
754,50
755,60
756,60
757,60
758,60
759,60
760,60
761,60
762,60
763,60
764,60
765,60
766,60
767,60
768,60
769,60
770,60
771,60
772,60
773,60
774,60
775,60
776,75
777,75
778,75
779,75
780,75
781,60
782,60
784,100
785,150
786,150
787,150
788,150
789,110
790,110
791,110
792,60
793,60
794,60
795,60
796,60
797,150
798,60
799,100
800,100
801,100
802,100
803,100
804,100
805,100
806,100
807,100
808,100
809,100
810,75
811,75
812,60
813,60
814,60
815,60
816,150
817,150
818,150
819,100
820,100
821,100
822,150
823,50
824,50
825,50
826,50
827,50
828,50
829,50
830,50
831,50
832,50
833,50
834,50
835,50
836,50
837,50
838,50
839,50
840,50
841,50
842,50
843,150
845,150
846,150
847,60
848,60
849,60
850,60
851,60
852,60
853,60
854,60
855,60
856,60
857,60
858,60
859,60
860,60
861,60
862,60
863,60
864,50
865,150
866,150
867,50
868,110
869,50
870,100
871,200
872,100
873,100
874,150
875,110
876,60
877,110
878,110
881,60
882,60
891,60
892,60
893,60
894,60
895,150
903,150
904,150
905,150
906,150
907,150
908,150
909,150
910,150
911,150
912,150
914,150
915,150
916,150
917,150
918,150
919,150
920,150
921,150
922,150
925,150
952,150
968,110
978,150
982,110
986,100
987,100
988,50
989,50
990,50
992,50
993,75
994,200
995,60
996,150
997,100
998,75
999,60
1000,100
1001,60
1002,150
1003,50
1004,150
1006,150
1007,150
1008,110
1009,150
1010,150
1011,150
1012,100
1013,100
1014,100
1015,100
1016,100
1017,150
1018,100
1019,50
1026,60
1027,60
1029,150
1031,60
1032,60
1033,50
1034,50
1035,50
1036,50
1037,50
1038,50
1039,50
1040,50
1041,100
1042,100
1044,100
1046,75
1047,150
1048,150
1049,100
1054,50
1055,100
1056,110
1059,60
1060,100
1061,100
1062,50
1063,50
1064,150
1066,110
1067,75
1068,150
1070,60
1071,50
1072,100
1073,150
1081,110
1084,60
1114,75
1115,75
1117,75
1122,50
1137,60
1139,50
1140,50
1141,75
1142,50
1143,100
1144,75
1145,75
1146,50
1147,60
1148,100
1149,100
1150,60
1151,85
1152,85
1154,110
1155,110
1156,110
1157,110
1158,110
1159,50
1160,60
1161,100
1162,110
1168,150
1176,110
1177,110
1178,110
1183,60
1184,85
1185,110
1186,50
1187,50
1189,50
1190,50
1191,60
1192,60
1193,50
1194,150
1195,150
1196,150
1197,50
1198,150
1199,150
1200,150
1201,150
1202,150
1203,150
1204,150
1205,150
1206,60
1207,110
1208,110
1209,75
1210,50
1211,50
1212,100
1213,60
1222,85
1225,60
1234,110
1235,150
1237,60
1239,60
1240,60
1241,60
1242,85
1243,85
1244,85
1245,60
1246,110
1247,110
1248,110
1252,110
1253,60
1254,110
1255,110
1256,60
1257,60
1258,60
1259,60
1260,60
1261,60
1262,60
1263,85
1264,110
1266,60
1272,100
1273,100
1274,50
1276,50
1277,110
1341,60
1345,60
1366,110
1378,110
1379,110
1381,60
1384,160
1386,110
1387,60
1388,60
1390,110
1391,110
1392,60
1393,60
1394,60
1395,85
1400,60
1401,60
1403,85
1406,60
1407,60
1409,110
1434,60
1456,60
1458,60
1459,60
1460,85
1461,60
1462,110
1463,110
1464,60
1466,60
1467,160
1469,110
1472,60
1474,85
1475,160
1477,110
1482,60
1483,60
1484,160
1485,160
1486,160
1487,110
1488,110
1489,110
1490,60
1492,75
1500,110
1501,160
1504,110
1505,110
1507,100
1508,60
1510,110
1515,110
1517,60
1519,160
1520,85
1526,60
1530,60
1531,60
1532,60
1533,60
1534,110
1535,60
1536,85
1537,60
1540,60
1541,85
1543,60
1544,60
1550,60
1551,60
1552,85
1553,60
1554,60
1555,60
1556,60
1557,60
1558,60
1559,60
1560,60
1561,60
1562,60
1563,60
1564,60
1565,60
1566,60
1567,60
1568,60
1569,60
1570,85
1571,60
1572,60
1573,60
1575,110
1576,60
1577,110
1578,110
1579,160
1580,60
1582,110
1587,110
1588,85
1592,60
1594,60
1595,60
1596,60
1597,60
1598,110
1599,60
1600,60
1601,60
1602,60
1603,60
1604,60
1605,60
1609,160
1610,60
1611,60
1619,110
1633,110
1635,60
1638,110
1639,85
1640,60
1642,60
1643,60
1644,60
1648,110
1649,60
1650,60
1652,60
1653,60
1654,110
1656,60
1657,60
1658,60
1659,60
1660,60
1662,110
1665,60
1666,110
1669,60
1670,60
1672,60
1674,60
1681,60
1684,60
1685,200
1686,300
1688,50
1689,150
1691,200
1694,200
1700,200
1706,300
1707,50
1708,200
1709,75
1710,75
1711,50
1712,75
1713,50
1714,150
1715,200
1716,75
1717,150
